location,area,new/resale,furnished,price
Dhakoli,1400,1,0,3800000
Dhakoli,1666,1,0,8550000
New chandigarh mohali,1778,1,0,8500300
New chandigarh mohali,1778,1,0,8550030
New chandigarh mohali,1778,1,0,8565003
New chandigarh mohali,1415,1,0,7503160
New chandigarh mohali,1778,1,0,8550030
New chandigarh mohali,1778,1,0,8546500
New chandigarh mohali,1778,1,0,8524650
New chandigarh mohali,1778,1,0,8565003
Dhakoli,1350,1,0,3500000
Dhakoli,1250,1,1,2900000
Dhakoli,1400,1,0,3800000
Dhakoli,1600,1,0,5200000
New chandigarh mohali,1778,1,0,8565003
New chandigarh mohali,1778,1,0,8565003
New Chandigarh Mullanpur,2875,1,0,9700000
New Chandigarh Mullanpur,1034,1,0,3505260
Chandigarh Road,1730,1,0,5500000
Omaxe New Chandigarh,1580,1,0,5819000
New Chandigarh Mullanpur,1725,1,0,6396000
Mohali Sector 127,580,1,0,1490000
New Chandigarh Mullanpur,1725,1,0,6388000
Omaxe New Chandigarh,1580,1,0,5817000
Mohali Sector 127,580,1,0,1487000
Dhakoli Zirakpur,1000,1,0,3190000
Dhakoli Zirakpur,1500,1,0,3000000
New Chandigarh Mullanpur,1580,1,0,5700000
Dhakoli Zirakpur,1000,1,0,3100000
Omaxe New Chandigarh,1580,1,0,5819000
Omaxe New Chandigarh,1580,1,0,5820000
New Chandigarh Mullanpur,1725,1,0,6300000
New Chandigarh Mullanpur,1580,1,0,5820000
Mohali Sec 117,1098,1,0,3039000
Mohali Sec 66,2000,1,0,14000000
Sec 124 Sunny Enclave,850,1,0,3490000
New Chandigarh Mullanpur,1725,1,0,6387000
New Chandigarh Mullanpur,1725,1,0,6390000
New Chandigarh Mullanpur,1580,1,0,5890000
Mullanpur,1880,0,0,9300000
Sector 37,3150,0,0,22500000
Sector 34,2250,0,0,22500000
Sector 38,1800,0,0,15000000
Mohali Sector 127,1350,1,1,3590000
New Chandigarh Mullanpur,1800,1,0,4454000
DLF Mullanpur,2250,1,0,7990000
New Chandigarh Mullanpur,1725,1,0,6396000
DLF Mullanpur,2250,1,1,9390000
DLF Mullanpur,2250,1,0,8590000
Mohali Sec 117,1098,1,0,3040000
Dhakoli,1100,0,0,3690000
Dhakoli,1100,0,0,3590000
Dhakoli,1044,0,0,3950000
Dhakoli,900,0,0,2750000
Dhakoli,1100,0,0,3690000
Dhakoli,1100,0,0,3590000
Dhakoli,1044,0,0,3950000
Dhakoli,900,0,0,2750000
Dhakoli,1100,0,0,3690000
Dhakoli,1100,0,0,3590000
Dhakoli,1044,0,0,3950000
Dhakoli,900,0,0,2750000
Dhakoli,1100,0,0,3690000
Dhakoli,1100,0,0,3590000
Dhakoli,1044,0,0,3950000
Dhakoli,900,0,0,2750000
Dhakoli,1100,0,0,3590000
Dhakoli,1100,0,0,3690000
